key;order;seasonal_order
1038GI-17;(0, 0, 0);(0, 1, 0, 12)
10749V2FARS-18;(0, 0, 0);(0, 1, 0, 12)
11494FIOREFANE-18;(0, 0, 0);(0, 1, 0, 12)
12844RS-19;(0, 0, 0);(0, 1, 0, 12)
1603NE-19;(0, 0, 0);(0, 1, 0, 12)
18010FANE-18;(0, 0, 0);(0, 1, 0, 12)
18042BFAGR-18;(0, 0, 0);(0, 1, 0, 12)
19041NE-19;(0, 0, 1);(0, 1, 0, 12)
314VM-17;(0, 0, 0);(0, 1, 0, 12)
466136NE-17;(0, 0, 0);(0, 1, 0, 12)
584325AINE-17;(1, 0, 0);(0, 1, 0, 12)
693125NE-17;(0, 0, 0);(0, 1, 0, 12)
7911FA-19;(0, 0, 1);(0, 1, 0, 12)
9057AINE-19;(0, 0, 0);(0, 1, 0, 12)
936625NE-18;(0, 0, 0);(0, 1, 0, 12)
980DIORNE-19;(0, 0, 0);(0, 1, 0, 12)
A07CL-17;(0, 0, 0);(0, 1, 0, 12)
A1619NE-17;(0, 0, 0);(0, 1, 0, 12)
A18178NE-19;(0, 0, 0);(0, 1, 0, 12)
A4848909OT-19;(0, 0, 0);(0, 1, 0, 12)
ALM56334AIBE-17;(0, 0, 0);(0, 1, 0, 12)
ALMA7155BE-17;(0, 0, 0);(0, 1, 0, 12)
ALMAP18083PECM-18;(0, 0, 0);(0, 1, 0, 12)
ALMP18219PEFAGI-18;(0, 0, 0);(0, 1, 0, 12)
ALMP18821FA-18;(0, 0, 0);(0, 1, 0, 12)
ALMP9115NE-19;(0, 0, 0);(0, 1, 0, 12)
AM1459DD70VE-17;(0, 0, 0);(0, 1, 0, 12)
ARC805PEAV-18;(0, 0, 0);(0, 1, 0, 12)
ASH22236AIPL-19;(1, 0, 0);(0, 1, 0, 12)
AXI601NE-17;(2, 0, 0);(0, 1, 0, 12)
CHARMFABI-17;(1, 0, 0);(0, 1, 0, 12)
D0538R420JE-19;(0, 0, 0);(0, 1, 0, 12)
EE21BI-18;(0, 0, 0);(0, 1, 0, 12)
EE26NE-19;(0, 0, 0);(0, 1, 0, 12)
EE2FANE-19;(0, 0, 0);(0, 1, 0, 12)
EU1908GH-17;(0, 0, 0);(0, 1, 0, 12)
G18VM-17;(0, 0, 0);(0, 1, 0, 12)
G9VE-17;(0, 0, 0);(0, 1, 0, 12)
GIA5286B502BE-19;(0, 0, 0);(0, 1, 0, 12)
GP918BL-18;(0, 0, 0);(0, 1, 0, 12)
GP918GI-18;(0, 0, 0);(0, 1, 0, 12)
GP918NE-18;(0, 0, 0);(0, 1, 0, 12)
GP918PA-17;(1, 0, 0);(0, 1, 0, 12)
HM18257AV-18;(2, 0, 0);(0, 1, 0, 12)
K4186T68RS-19;(2, 0, 0);(0, 1, 0, 12)
LDVF6337GR-17;(2, 0, 1);(0, 1, 0, 12)
LI1103967VI-17;(0, 0, 0);(0, 1, 0, 12)
LI16303NE-18;(0, 0, 0);(0, 1, 0, 12)
LI4027521STBI-18;(0, 0, 0);(0, 1, 0, 12)
LI4051821RS-19;(0, 0, 0);(0, 1, 0, 12)
LILYFA-19;(0, 0, 0);(0, 1, 0, 12)
LJ16303RS-19;(0, 0, 0);(0, 1, 0, 12)
M13NE-19;(0, 0, 0);(0, 1, 0, 12)
M5102909DBI-18;(2, 0, 0);(0, 1, 0, 12)
M6307VIBL-18;(0, 0, 0);(0, 1, 0, 12)
M8674B90BE-18;(0, 0, 0);(0, 1, 0, 12)
M9040D1VE-18;(1, 0, 0);(0, 1, 0, 12)
M9055NE-19;(0, 0, 0);(0, 1, 0, 12)
M9368C707NE-19;(0, 0, 0);(0, 1, 0, 12)
MA3949226909FABL-17;(0, 0, 0);(0, 1, 0, 12)
ME202FA-17;(2, 0, 0);(0, 1, 0, 12)
ME218FA-17;(2, 0, 0);(0, 1, 0, 12)
ME241FA-17;(0, 0, 0);(0, 1, 0, 12)
ME264ROFANE-18;(0, 0, 0);(0, 1, 0, 12)
ME271VE-18;(0, 0, 0);(0, 1, 0, 12)
ME799FA-19;(0, 0, 0);(0, 1, 0, 12)
MIS833NE-18;(0, 0, 0);(0, 1, 0, 12)
N2165FA-19;(0, 0, 0);(0, 1, 0, 12)
N2166BI-19;(0, 0, 0);(0, 1, 0, 12)
N2175FA-19;(4, 0, 0);(0, 1, 0, 12)
NL0116303NE-17;(0, 0, 0);(0, 1, 0, 12)
NL355FARO-17;(0, 0, 0);(0, 1, 0, 12)
ORSOLAFA-17;(0, 0, 1);(0, 1, 0, 12)
P1281E144NE-18;(2, 0, 0);(0, 1, 0, 12)
P2042A438BL-17;(0, 0, 0);(0, 1, 0, 12)
P2199B552NE-18;(0, 0, 0);(0, 1, 0, 12)
P2264A607NE-18;(0, 0, 0);(0, 1, 0, 12)
P2312607NE-18;(0, 0, 0);(0, 1, 0, 12)
P2439T1RS-18;(0, 0, 0);(0, 1, 0, 12)
P3NE-17;(1, 0, 0);(0, 1, 0, 12)
SJ20R460JE-18;(0, 0, 0);(0, 1, 0, 12)
SLIM2JE-17;(0, 0, 0);(0, 1, 0, 12)
SS13FA-17;(0, 0, 0);(0, 1, 0, 12)
SS17NE-17;(0, 0, 0);(0, 1, 0, 12)
T6080T7T52NE-18;(1, 0, 0);(0, 1, 0, 12)
TU07U34NE-19;(1, 0, 1);(0, 1, 0, 12)
VA814180MILFA-19;(0, 0, 0);(0, 1, 0, 12)
VA818687AIVE-19;(0, 1, 0);(0, 1, 0, 12)
VG7354VE-17;(0, 0, 0);(0, 1, 0, 12)
VG7960PA-17;(0, 0, 0);(0, 1, 0, 12)
VG8143GR-18;(0, 0, 0);(0, 1, 0, 12)
VG8174NE-18;(0, 0, 0);(0, 1, 0, 12)
VG8185NE-18;(0, 0, 0);(0, 1, 0, 12)
VG8203GR-18;(0, 0, 0);(0, 1, 0, 12)
VG9044NE-19;(0, 0, 0);(0, 1, 0, 12)
VG9109FANE-19;(0, 0, 0);(0, 1, 0, 12)
WENDYNE-19;(0, 0, 0);(0, 1, 0, 12)
XL2753FA-17;(0, 0, 0);(0, 1, 0, 12)
XL3425FA-19;(0, 0, 0);(0, 1, 0, 12)
YR1938BL-17;(0, 0, 0);(0, 1, 0, 12)
