key,naive,stlarima,arima
LILYFA-19,0.49181,1.25824,1.29663
7911FA-19,2.66482,2.16422,4.6354
ME264ROFANE-18,5.57859,11.03068,21.82845
1038GI-17,6.63556,6.31178,23.47897
VG8174NE-18,10.44153,8.00877,24.77027
M8674B90BE-18,10.55195,31.74462,48.2577
19041NE-19,10.847,10.22443,7.15347
M9368C707NE-19,11.07582,11.29665,29.42349
EE26NE-19,11.64705,52.17963,25.21094
K4186T68RS-19,12.54587,23.09352,17.91161
G18VM-17,12.55528,86.1907,36.50566
ME799FA-19,13.98519,52.01839,14.57243
XL2753FA-17,14.14613,74.35944,31.64959
980DIORNE-19,14.50244,78.63228,14.07527
P3NE-17,14.60507,31.24717,34.37142
G9VE-17,14.64245,18.00422,50.67264
693125NE-17,14.79333,87.82029,20.43068
TU07U34NE-19,15.13527,28.76558,27.59862
VA814180MILFA-19,15.44864,62.91696,27.56862
314VM-17,15.79209,87.51201,15.05233
AM1459DD70VE-17,16.43856,104.53196,22.5582
MA3949226909FABL-17,17.01172,100.78829,15.05355
GP918BL-18,17.48596,57.10831,19.52625
ALMA7155BE-17,17.64324,16.32871,64.9387
EE21BI-18,18.79717,55.54724,40.70837
GIA5286B502BE-19,18.88521,92.32146,38.5265
12844RS-19,18.91965,94.28499,17.19102
ORSOLAFA-17,19.587,93.54414,34.36701
P2199B552NE-18,20.24208,90.73557,30.79444
P2264A607NE-18,20.52489,92.5507,26.18929
GP918NE-18,21.06454,46.87137,16.30368
SS13FA-17,21.0746,32.3934,56.63068
AXI601NE-17,21.17938,12.99928,19.39523
LI16303NE-18,21.26971,92.41136,20.32065
A18178NE-19,21.46929,72.85176,25.54431
VG7354VE-17,21.63614,47.03297,26.38513
CHARMFABI-17,22.89446,41.71261,32.15049
9057AINE-19,24.16683,92.34944,17.05808
D0538R420JE-19,24.42352,75.77974,25.59115
LI4051821RS-19,24.61337,145.28641,39.90649
1603NE-19,24.7149,87.36946,23.46804
ME241FA-17,25.14087,90.98412,16.50833
ME218FA-17,25.15016,35.72917,30.96937
P2042A438BL-17,25.51651,66.4634,23.99871
18042BFAGR-18,25.60193,96.33318,19.21144
584325AINE-17,25.64727,34.52615,29.34912
M13NE-19,26.05446,99.98876,33.9809
N2175FA-19,26.75249,25.3299,21.18593
NL0116303NE-17,26.85547,52.30876,24.59882
YR1938BL-17,26.99442,87.81661,20.83703
N2166BI-19,27.05424,80.85419,28.16787
VA818687AIVE-19,27.11866,22.57931,27.53248
MIS833NE-18,27.18112,99.91848,24.574
ASH22236AIPL-19,27.54407,30.90578,25.53959
18010FANE-18,27.5763,87.79943,29.16948
SLIM2JE-17,27.59114,89.76349,22.30681
M6307VIBL-18,29.53394,91.64633,46.72978
VG9044NE-19,29.56897,85.60096,30.83249
XL3425FA-19,29.7981,101.68145,23.14999
WENDYNE-19,30.23324,80.2086,46.81964
VG8203GR-18,30.72517,74.43111,30.34515
936625NE-18,30.83847,87.96283,22.70333
VG8185NE-18,31.06483,70.7266,39.08718
VG8143GR-18,31.38352,117.97007,39.24925
LI1103967VI-17,32.38492,92.73071,52.09475
ALM56334AIBE-17,33.02115,80.9618,60.25397
GP918GI-18,33.1147,52.4901,27.62193
EE2FANE-19,33.40679,111.4987,44.67381
EU1908GH-17,33.78187,17.9393,32.63952
ALMP18219PEFAGI-18,34.03502,115.96625,38.38614
466136NE-17,34.30563,83.02071,9.94428
VG9109FANE-19,34.78531,132.04984,34.03793
T6080T7T52NE-18,34.84497,35.5603,29.47819
A4848909OT-19,36.56933,53.68674,11.44156
ALMP9115NE-19,37.11328,101.95085,36.2047
10749V2FARS-18,38.15303,132.75184,28.65838
11494FIOREFANE-18,38.89931,100.68731,28.3606
NL355FARO-17,39.26933,120.75301,22.74727
ME202FA-17,39.6542,28.98569,33.47542
M9040D1VE-18,39.67193,27.67419,23.43906
GP918PA-17,40.40814,37.453,54.62077
SJ20R460JE-18,40.69627,66.85217,65.80712
VG7960PA-17,40.93644,82.3482,20.13546
HM18257AV-18,41.40677,34.178,31.28281
P1281E144NE-18,41.65428,26.35511,28.82597
ME271VE-18,41.80415,67.23383,29.62303
LI4027521STBI-18,42.95013,146.68336,37.09169
M9055NE-19,43.51768,61.35651,54.40783
LJ16303RS-19,44.68614,77.75671,40.81265
LDVF6337GR-17,44.82672,16.06684,42.72377
N2165FA-19,50.77851,74.54414,57.97871
SS17NE-17,51.07344,91.27399,40.0111
A07CL-17,52.14558,81.22447,27.28648
ALMP18821FA-18,53.0954,119.65459,30.06155
P2439T1RS-18,55.29203,73.94106,40.8508
A1619NE-17,56.64888,76.87993,45.84279
ARC805PEAV-18,58.22528,109.54676,41.44759
ALMAP18083PECM-18,64.54347,78.79279,40.19521
P2312607NE-18,66.16693,86.37731,42.72991
M5102909DBI-18,75.40065,30.77309,21.63998
