week,value
2020-07-19,22.881437458960676
2020-07-26,26.88143602798308
2020-08-02,8.88143459700548
2020-08-09,23.88143316602789
2020-08-16,26.881431735050285
2020-08-23,23.881430304072683
2020-08-30,28.881428873095086
2020-09-06,29.881427442117474
2020-09-13,24.88142601113987
2020-09-20,25.881424580162264
2020-09-27,26.88142314918465
2020-10-04,35.881421718207065
2020-10-11,28.881420287229453
2020-10-18,33.88141885625184
2020-10-25,50.881417425274265
2020-11-01,31.881415994296656
2020-11-08,36.88141456331905
2020-11-15,35.88141313234146
2020-11-22,46.88141170136385
2020-11-29,45.88141027038624
2020-12-06,29.881408839408643
2020-12-13,33.88140740843104
2020-12-20,49.881405977453426
2020-12-27,35.881404546475835
2021-01-03,28.88140311549823
2021-01-10,34.88140168452063
2021-01-17,45.881400253543035
2021-01-24,39.88139882256542
2021-01-31,44.881397391587825
2021-02-07,43.881395960610206
